year,overall_pick,newPick,pickDifference,rank,team,player,college,unit,indicator,value
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,3_point_percentage,0
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,assists,34
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,average_assists,0.3
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,average_minutes_played,12.9
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,average_total_rebounds,3.7
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,box_plus_minus,-3.7
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,field_goal_percentage,0.439
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,free_throw_percentage,0.524
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,games,116
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,minutes_played,1499
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,overall_performance,6.329916184209449
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,points,418
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,points_per_game,3.6
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,total_rebounds,428
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,value_over_replacement,-0.7
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,win_shares,1
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,win_shares_per_48_minutes,0.033
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Player,years_active,4
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Selection,expected_perf,8.198049018363248
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Selection,observed_perf,9.086460391020434
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,Selection,pick_perf_difference,0.8884113726571865
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,3_point_percentage,0.425
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,assists,2479
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,average_assists,3.3
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,average_minutes_played,23.8
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,average_total_rebounds,1.8
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,box_plus_minus,-0.2
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,field_goal_percentage,0.477
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,free_throw_percentage,0.856
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,games,747
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,minutes_played,17790
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,overall_performance,11.055845545504937
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,points,7320
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,points_per_game,9.8
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,total_rebounds,1321
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,value_over_replacement,8.1
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,win_shares,45
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,win_shares_per_48_minutes,0.121
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Player,years_active,11
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Selection,expected_perf,8.8114032785493
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Selection,observed_perf,8.668440687925225
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,Selection,pick_perf_difference,-0.1429625906240748
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,3_point_percentage,0.335
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,assists,1409
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,average_assists,2
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,average_minutes_played,26.1
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,average_total_rebounds,3.4
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,box_plus_minus,-1.6
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,field_goal_percentage,0.475
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,free_throw_percentage,0.779
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,games,704
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,minutes_played,18409
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,overall_performance,10.369453643524098
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,points,7585
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,points_per_game,10.8
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,Player,total_rebounds,2376
