year,overall_pick,newPick,pickDifference,rank,team,player,college,3_point_percentage,assists,average_assists,average_minutes_played,average_total_rebounds,box_plus_minus,expected_perf,field_goal_percentage,free_throw_percentage,games,minutes_played,observed_perf,overall_performance,pick_perf_difference,points,points_per_game,total_rebounds,value_over_replacement,win_shares,win_shares_per_48_minutes,years_active
1989,24,37,-13,Role,PHO,Anthony Cook,Arizona,,,,,,,,,,,,,,,,,,,,,
1989,18,12,6,Elite,CHI,B.J. Armstrong,Iowa,,,,,,,,,,,,,,,,,,,,,
1989,21,14,7,Elite,UTA,Blue Edwards,East Carolina University,,,,,,,,,,,,,,,,,,,,,
1989,50,34,16,Role,NYK,Brian Quinnett,Washington State,,,,,,,,,,,,,,,,,,,,,
1989,22,32,-10,Role,POR,Byron Irvin,Missouri,,,,,,,,,,,,,,,,,,,,,
1989,43,21,22,Starter,CLE,Chucky Brown,NC State,,,,,,,,,,,,,,,,,,,,,
1989,36,5,31,SuperStar,POR,Clifford Robinson,UConn,,,,,,,,,,,,,,,,,,,,,
1989,16,9,7,Star,SEA,Dana Barros,Boston College,,,,,,,,,,,,,,,,,,,,,
1989,2,16,-14,Elite,LAC,Danny Ferry,Duke,,,,,,,,,,,,,,,,,,,,,
1989,40,13,27,Elite,BOS,Dino Radja,Didn't play College,,,,,,,,,,,,,,,,,,,,,
1989,41,39,2,Rotation,WSB,Doug Roth,Tennessee,,,,,,,,,,,,,,,,,,,,,
1989,38,18,20,Starter,MIN,Doug West,Villanova,,,,,,,,,,,,,,,,,,,,,
1989,29,44,-15,Rotation,CHH,Dyron Nix,Tennessee,,,,,,,,,,,,,,,,,,,,,
1989,39,38,1,Rotation,WSB,Ed Horton,Iowa,,,,,,,,,,,,,,,,,,,,,
1989,30,41,-11,Rotation,MIL,Frank Kornet,Vanderbilt,,,,,,,,,,,,,,,,,,,,,
1989,34,45,-11,Rotation,MIN,Gary Leonard,Missouri,,,,,,,,,,,,,,,,,,,,,
1989,7,15,-8,Elite,IND,George McCloud,Florida State,,,,,,,,,,,,,,,,,,,,,
1989,4,4,0,SuperStar,MIA,Glen Rice,Michigan,,,,,,,,,,,,,,,,,,,,,
1989,52,29,23,Role,PHO,Greg Grant,Trenton State University,,,,,,,,,,,,,,,,,,,,,
1989,49,20,29,Starter,ATL,Haywoode Workman,Oral Roberts,,,,,,,,,,,,,,,,,,,,,
1989,5,19,-14,Starter,CHH,J.R. Reid,UNC,,,,,,,,,,,,,,,,,,,,,
1989,33,46,-13,Rotation,LAC,Jay Edwards,Indiana,,,,,,,,,,,,,,,,,,,,,
1989,53,49,4,NA,DAL,Jeff Hodge,University of South Alabama,,,,,,,,,,,,,,,,,,,,,
1989,31,30,1,Role,LAC,Jeff Martin,Murray State,,,,,,,,,,,,,,,,,,,,,
1989,20,40,-20,Rotation,CHI,Jeff Sanders,Georgia Southern University,,,,,,,,,,,,,,,,,,,,,
1989,25,28,-3,Role,CLE,John Morton,Seton Hall,,,,,,,,,,,,,,,,,,,,,
1989,48,50,-2,NA,UTA,Junie Lewis,University of South Alabama,,,,,,,,,,,,,,,,,,,,,
1989,27,31,-4,Role,DET,Kenny Battle,Illinois,,,,,,,,,,,,,,,,,,,,,
1989,19,35,-16,Role,PHI,Kenny Payne,Louisville,,,,,,,,,,,,,,,,,,,,,
1989,37,27,10,Role,ORL,Michael Ansley,Alabama,,,,,,,,,,,,,,,,,,,,,
1989,42,51,-9,NA,DEN,Michael Cutright,McNeese State University,,,,,,,,,,,,,,,,,,,,,
1989,13,24,-11,Role,BOS,Michael Smith,BYU,,,,,,,,,,,,,,,,,,,,,
1989,13,21,-8,Role,BOS,Michael Smith,BYU,,,,,,,,,,,,,,,,,,,,,
1989,13,24,-11,Starter,BOS,Michael Smith,BYU,,,,,,,,,,,,,,,,,,,,,
1989,13,21,-8,Starter,BOS,Michael Smith,BYU,,,,,,,,,,,,,,,,,,,,,
1989,51,42,9,Rotation,PHO,Mike Morrison,Loyola (MD),,,,,,,,,,,,,,,,,,,,,
1989,12,3,9,SuperStar,NJN,Mookie Blaylock,Oklahoma,,,,,,,,,,,,,,,,,,,,,
1989,11,7,4,Star,ORL,Nick Anderson,Illinois,,,,,,,,,,,,,,,,,,,,,
1989,35,33,2,Role,DAL,Pat Durham,Colorado State,,,,,,,,,,,,,,,,,,,,,
1989,1,17,-16,Starter,SAC,Pervis Ellison,Louisville,,,,,,,,,,,,,,,,,,,,,
1989,10,10,0,Star,MIN,Pooh Richardson,UCLA,,,,,,,,,,,,,,,,,,,,,
1989,8,26,-18,Solid,DAL,Randy White,Louisiana Tech,,,,,,,,,,,,,,,,,,,,,
